Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
73030,47216,37,520,Second Year College,1100,5,1
244520,57700,33,0,Teacher Training and Education Sciences Programs,485,4,0
177998,93583,61,0,Third Year High School,75,3,0
81700,53304,60,720,Third Year High School,195,3,2
137885,57476,35,140,Third Year College,0,2,1
326114,77391,52,1352,High School Graduate,0,6,2
91950,76557,47,1544,High School Graduate,780,6,0
140857,99804,51,152,Second Year High School,13000,5,0
244029,15195,67,0,Business and Administration Programs,0,1,0
253576,111881,65,0,Elementary Graduate,95,6,0
199801,84699,34,720,Teacher Training and Education Sciences Programs,825,3,1
165931,64478,36,2190,High School Graduate,2500,3,2
120894,29644,27,240,Third Year High School,0,2,1
282977,93245,53,672,Health Programs,0,3,4
596095,229271,60,0,Engineering and Engineering Trades Programs,47025,6,3
175673,78001,46,3916,Third Year High School,550,6,2
162910,68506,73,0,Elementary Graduate,1650,5,0
176207,53601,35,0,Teacher Training and Education Sciences Programs,3900,3,0
325718,126803,56,5096,High School Graduate,0,6,4
112332,41791,35,690,Second Year College,240,3,1
302144,108032,61,5616,Second Year College,26000,4,0
96006,29226,46,86,First Year High School,0,3,1
282454,82899,59,292,Third Year High School,13283,7,1
145360,64364,44,4842,High School Graduate,350,4,1
345712,135726,61,0,High School Graduate,1400,8,2
377262,126194,49,0,High School Graduate,14000,3,0
207950,49982,51,0,High School Graduate,13750,4,1
337969,122330,56,225,High School Graduate,700,7,2
1355647,190767,46,600,Post Baccalaureate,52500,4,2
196820,88965,31,2574,Security Services Programs,380,4,1
138100,43853,21,0,Third Year College,14950,1,0
267789,112155,65,4354,Elementary Graduate,1170,5,1
651176,158395,55,0,Business and Administration Programs,37500,4,2
284360,151000,54,0,High School Graduate,0,4,3
171737,119658,21,432,First Year College,14600,2,0
326924,150826,42,2158,Social and Behavioral Science Programs,15400,5,2
181907,60951,81,0,High School Graduate,0,3,0
1073617,170125,72,16198,Post Baccalaureate,39300,3,0
76184,30032,85,1182,High School Graduate,0,1,0
140354,57009,29,3068,Third Year College,300,4,1
240070,88186,62,0,Transport Services Programs,0,2,0
504038,160840,32,0,First Year College,25750,3,0
498736,140096,53,2730,Business and Administration Programs,0,2,2
698754,180427,66,5876,Teacher Training and Education Sciences Programs,500,3,0
1300010,145897,60,11440,Engineering and Engineering trades Programs,0,3,1
195413,67274,42,889,Engineering and Engineering Trades Programs,0,3,1
70615,19759,81,0,Elementary Graduate,0,2,0
592271,124303,35,6601,Engineering and Engineering Trades Programs,450,5,2
147564,26528,74,810,Business and Administration Programs,0,1,0
180450,74026,55,10660,High School Graduate,5800,6,4
194771,82681,51,2625,High School Graduate,16050,7,2
273630,101610,53,0,High School Graduate,0,3,3
256450,134678,48,1664,High School Graduate,200,7,2
356618,113684,45,6292,Transport Services Programs,6500,4,2
159310,44755,38,0,Computing/Information Technology Programs,0,2,0
546336,138625,49,0,Business and Administration Programs,21500,6,2
123162,75584,57,936,High School Graduate,0,2,1
382760,111647,48,0,Engineering and Engineering trades Programs,33450,5,2
132020,43229,18,0,Third Year College,0,1,1
198243,77298,45,0,Computing/Information Technology Programs,120,6,3
542530,195704,58,0,High School Graduate,7985,14,2
155850,48618,40,1044,Third Year College,10500,4,1
377976,55323,62,0,Post Baccalaureate,0,3,0
218100,59475,46,900,Business and Administration Programs,25650,3,0
421670,100205,49,0,High School Graduate,97600,5,2
188145,43281,85,0,Teacher Training and Education Sciences Programs,0,1,0
4103250,516494,69,0,Business and Administration Programs,97500,14,2
437297,171291,54,0,Second Year College,35600,6,2
249960,104909,70,1080,High School Graduate,9250,4,1
345365,141475,75,0,Second Year College,54000,4,1
259885,72039,72,494,High School Graduate,6000,4,0
264500,72695,60,2024,Third Year High School,875,9,4
87372,39450,91,0,Second Year High School,0,3,0
167930,83510,84,0,Second Year High School,17450,6,0
126677,61723,53,2488,Elementary Graduate,360,9,2
187419,59335,54,0,Journalism and Information Programs,2900,3,1
156195,58425,39,0,First Year High School,1657,4,0
403193,142228,61,3510,High School Graduate,5180,5,2
32216,11953,71,600,Second Year High School,0,1,0
838166,144697,54,1456,"Agriculture, Forestry, and Fishery Programs",7190,6,2
328176,166170,56,0,High School Graduate,41230,4,0
351001,93584,77,2756,High School Graduate,20120,5,1
75800,27791,62,1170,High School Graduate,0,1,1
130840,70863,45,2496,Business and Administration Programs,270,4,1
31565,22994,81,0,Grade 5,0,1,0
143643,59691,56,0,First Year High School,3650,3,0
283949,83472,68,3350,Business and Administration Programs,29962,7,2
181475,87609,66,1750,Elementary Graduate,70,5,3
108458,45299,50,1300,Third Year High School,195,3,1
218859,106153,39,780,High School Graduate,15050,4,1
98124,55359,37,1000,Second Year High School,4435,2,1
114221,61478,73,0,High School Graduate,1200,6,1
97838,26590,65,0,High School Graduate,50,4,1
125859,83701,47,0,Teacher Training and Education Sciences Programs,400,4,2
170107,95603,71,160,Grade 1,32750,5,0
72179,25367,29,1600,Grade 4,350,4,1
108187,57650,44,300,High School Graduate,1450,9,3
28254,22236,46,0,Grade 5,450,2,1
61039,47981,54,0,Elementary Graduate,1300,5,4
34143,19099,43,1300,Third Year High School,0,1,1
66016,47746,37,254,Grade 5,950,7,2
40097,27460,35,600,Elementary Graduate,300,4,2
52344,50014,55,1560,Elementary Graduate,700,7,1
55886,29907,71,80,Grade 5,200,3,1
56826,52637,55,0,High School Graduate,750,7,3
44848,21860,70,1140,No Grade Completed,0,2,1
43051,26027,57,200,Elementary Graduate,0,2,1
53315,39794,36,480,Grade 1,1060,4,2
94474,64826,52,1140,Grade 3,550,9,2
55435,23842,50,200,Grade 5,0,2,1
154757,62047,46,540,Elementary Graduate,1350,9,4
77029,36154,60,480,Grade 5,33150,2,2
79469,23172,49,0,Elementary Graduate,13500,1,1
99530,45611,53,900,High School Graduate,17550,2,2
24263,12617,74,0,No Grade Completed,0,1,0
27987,15071,75,0,No Grade Completed,0,2,0
965700,87882,49,1440,Post Baccalaureate,0,3,1
77759,47136,61,360,Elementary Graduate,1050,6,1
23553,9913,74,0,Elementary Graduate,0,1,0
76996,44341,43,558,High School Graduate,320,4,1
146930,75038,40,600,First Year Post Secondary,5770,7,1
398784,109492,71,2010,Grade 2,200,8,3
295577,92445,77,1080,Grade 2,33500,6,1
53660,42440,59,522,Grade 5,70,4,1
126329,64094,49,300,High School Graduate,250,5,1
380450,106486,49,1440,Elementary Graduate,780,17,6
55080,23785,51,552,Third Year High School,0,2,0
183817,61333,51,582,High School Graduate,430,6,2
51556,29785,84,0,Grade 1,0,3,0
430243,138811,61,0,Second Year College,3750,5,2
330408,143555,52,0,Elementary Graduate,1400,4,1
663174,181720,37,0,Health Programs,19600,5,1
163957,78043,31,0,Engineering and Engineering trades Programs,410,5,1
781396,270903,70,0,Engineering and Engineering Trades Programs,58000,5,1
173271,124622,38,888,Second Year College,14500,4,1
263192,163042,53,360,Elementary Graduate,735,8,2
132020,55821,77,0,High School Graduate,0,2,0
571700,160225,53,1404,Elementary Graduate,7200,4,2
84556,40724,62,0,Third Year High School,0,1,0
394180,155955,47,488,Elementary Graduate,34870,5,1
141145,78158,39,108,Third Year High School,850,5,1
373544,165918,62,0,High School Graduate,0,2,1
307692,115691,73,540,Elementary Graduate,2000,5,2
202976,58506,79,0,Elementary Graduate,0,2,0
198327,109206,46,0,Elementary Graduate,340,6,2
331062,165998,43,95,High School Graduate,11200,3,0
197941,104460,44,0,High School Graduate,0,5,3
196623,125997,59,625,Elementary Graduate,0,2,0
268272,103182,69,270,Grade 5,8200,9,6
237468,133459,29,340,High School Graduate,1050,3,0
370253,129910,68,0,Elementary Graduate,13500,2,1
194831,119549,28,100,High School Graduate,0,4,1
197900,66420,67,0,High School Graduate,0,2,0
477760,123030,37,0,High School Graduate,15000,2,1
370800,107964,27,0,Business and Administration Programs,0,5,1
129780,71208,33,324,Grade 3,0,3,2
646940,176042,58,1298,Elementary Graduate,0,4,3
363392,112944,53,0,Business and Administration Programs,0,2,2
109816,62564,29,450,High School Graduate,0,5,1
299712,143168,34,936,High School Graduate,760,5,2
321088,158869,54,0,Elementary Graduate,2410,6,3
182418,98523,58,3420,Grade 5,0,4,2
273465,130410,80,0,No Grade Completed,100,6,1
530580,189984,48,0,First Year College,14525,5,4
219548,109819,42,270,Second Year High School,27420,5,2
171266,63029,35,0,High School Graduate,0,2,1
210310,70319,59,2756,High School Graduate,0,2,0
434406,109780,71,0,Elementary Graduate,150,7,4
264398,112373,55,910,First Year High School,12800,5,4
216939,144675,59,0,Third Year High School,23530,5,0
230820,94909,63,0,Elementary Graduate,0,2,1
149840,100325,52,0,Grade 6,600,4,1
176962,43466,51,1690,Second Year High School,0,2,1
129360,87213,32,7528,Third Year High School,1660,3,1
328212,170290,55,540,First Year College,6940,6,2
672245,129295,40,0,High School Graduate,35250,5,2
133150,63747,31,3640,Grade 3,760,3,1
123854,72129,54,3280,Elementary Graduate,0,2,1
318690,112249,51,650,Second Year College,5340,4,1
161120,72621,50,3640,Elementary Graduate,320,4,2
115832,63649,99,0,Elementary Graduate,0,4,0
946622,156833,61,720,Engineering and Engineering Trades Programs,37000,4,4
321665,123266,57,0,Second Year College,30000,4,2
680859,286493,56,0,Business and Administration Programs,1000,10,3
252374,80038,46,0,Engineering and Engineering Trades Programs,0,3,1
443640,127887,45,0,Engineering and Engineering Trades Programs,12600,3,2
492200,194324,52,0,Business and Administration Programs,63000,2,2
330700,110557,69,0,Third Year High School,0,7,1
178201,83022,51,0,Second Year High School,0,4,1
241820,89758,42,0,Third Year High School,2400,6,2
317263,70543,58,0,First Year High School,0,6,3
173941,94248,41,300,High School Graduate,870,3,1
559189,104572,61,0,Business and Administration Programs,3690,9,1
224562,102931,57,540,Elementary Graduate,3170,6,1
113002,100002,43,0,No Grade Completed,450,9,1
242405,103412,55,3120,Grade 3,0,5,3
101450,54623,32,0,Grade 4,560,3,0
243285,94446,42,0,Second Year College,37250,3,1
162000,68979,44,0,High School Graduate,5800,1,1
290489,83476,57,0,High School Graduate,25000,2,0
897080,177964,30,2340,Arts Programs,15000,4,0
219559,74217,79,360,Grade 2,0,3,2
577808,158945,65,840,Second Year College,0,4,3
343627,135646,64,0,Business and Administration Programs,27450,5,0
95812,71810,58,0,Third Year High School,0,4,2
561054,198135,49,0,Engineering and Engineering Trades Programs,58000,3,2
266654,124262,65,0,Second Year High School,1000,7,2
388675,140580,54,1616,Second Year High School,610,7,3
294621,89672,56,0,High School Graduate,70,4,1
230645,88273,59,0,Grade 5,0,7,3
286892,104986,32,0,High School Graduate,500,4,0
346961,99373,66,1572,Third Year College,1010,4,2
75230,54772,22,0,Elementary Graduate,0,3,1
131400,37644,62,2308,Elementary Graduate,0,2,1
141000,75741,32,648,Elementary Graduate,0,4,1
287220,155490,37,318,Elementary Graduate,1410,7,2
513617,99080,50,1392,Elementary Graduate,0,5,4
685000,128994,58,0,Elementary Graduate,67200,4,1
115680,79516,40,910,High School Graduate,0,3,1
207355,92978,46,780,Elementary Graduate,350,6,2
138911,80897,36,228,Third Year College,880,5,1
550597,134609,28,1690,High School Graduate,10000,6,3
351596,158537,50,0,High School Graduate,7450,6,0
143090,50469,68,0,Elementary Graduate,400,3,1
153966,74974,35,450,High School Graduate,15360,4,1
222744,86992,63,0,Third Year College,0,4,1
106700,48502,30,0,Elementary Graduate,0,4,1
122000,51922,53,7112,Elementary Graduate,0,2,1
105600,52338,31,228,Third Year High School,0,3,1
492128,188735,51,3060,High School Graduate,1200,12,5
312014,144435,39,7800,First Year College,1700,7,4
308216,104742,42,1260,First Year College,51700,4,2
272288,123408,59,1386,High School Graduate,0,4,2
603781,128846,52,0,High School Graduate,19500,4,3
168200,82870,34,960,High School Graduate,470,3,2
233672,104463,43,1820,High School Graduate,430,4,2
565736,187794,48,0,Elementary Graduate,0,7,4
235019,81012,45,0,Computing/Information Technology Programs,0,3,2
314652,106938,61,1620,High School Graduate,500,4,1
307530,91412,55,0,Elementary Graduate,13200,3,2
260834,144106,35,1872,High School Graduate,100,5,1
207770,105760,42,0,High School Graduate,3150,4,1
146252,82142,28,600,High School Graduate,600,5,2
235802,82951,25,1050,High School Graduate,1060,3,2
105280,49072,50,1560,Second Year High School,500,1,1
144240,47687,34,1656,High School Graduate,0,1,1
211380,114754,76,0,Engineering and Engineering Trades Programs,22500,3,0
276628,96347,52,0,Health Programs,2086,3,2
756163,160995,62,1548,Second Year College,1200,8,2
544839,211477,61,990,Third Year High School,1950,8,3
244498,53571,58,1950,Grade 5,200,2,1
123030,62787,66,0,High School Graduate,300,4,2
170790,74649,35,270,High School Graduate,770,6,2
179230,89842,37,2080,High School Graduate,0,3,2
761412,165938,33,7800,Teacher Training and Education Sciences Programs,2000,5,2
284176,113569,22,0,Second Year College,14796,3,1
344190,103313,56,456,High School Graduate,400,5,2
195624,98499,21,720,Third Year High School,900,9,1
164430,105725,28,660,Elementary Graduate,0,6,1
120055,62607,38,0,High School Graduate,950,3,0
349164,164146,52,2160,High School Graduate,51580,8,4
415123,148384,58,1800,First Year College,2690,6,1
239421,118930,37,4176,Elementary Graduate,2050,4,1
159551,71532,29,4775,Elementary Graduate,0,3,1
377060,76389,60,0,Second Year College,1500,2,1
371161,178487,53,2664,Second Year College,17300,7,2
298198,93690,64,235,Elementary Graduate,0,4,1
492678,244304,47,1332,High School Graduate,1090,9,4
459938,161178,56,650,High School Graduate,0,6,3
703058,201117,65,0,Grade 5,124600,6,2
179718,39779,62,0,Elementary Graduate,0,3,2
380174,91731,42,336,High School Graduate,0,3,2
570284,209013,49,0,High School Graduate,75520,6,0
265573,92862,46,0,High School Graduate,1405,6,3
525130,165130,45,1750,High School Graduate,109750,4,0
566940,285813,49,0,Third Year College,108500,4,1
227340,88879,31,0,Computing/Information Technology Programs,0,2,2
282843,86545,40,720,High School Graduate,5610,6,3
394994,181023,50,216,Engineering and Engineering trades Programs,17700,6,1
213417,101851,44,0,High School Graduate,9680,4,2
251898,103673,28,0,Computing/Information Technology Programs,0,3,1
510235,154244,80,0,Business and Administration Programs,22000,1,0
503613,197087,64,240,Elementary Graduate,550,8,3
112340,61835,21,0,High School Graduate,0,1,1
1395086,393774,52,0,Engineering and Engineering Trades Programs,50000,8,4
263386,96380,33,2340,High School Graduate,0,2,2
305260,93181,49,24,High School Graduate,0,1,1
53943,6649,53,0,High School Graduate,0,1,0
277412,68241,66,2028,Grade 3,0,2,2
113278,43151,21,0,First Year College,0,1,0
744676,220228,69,0,Elementary Graduate,39800,5,2
230383,89925,57,720,First Year High School,0,4,1
236645,90023,48,180,High School Graduate,500,4,3
423534,102947,43,0,High School Graduate,150,3,0
149405,102510,35,0,High School Graduate,645,5,1
171766,93821,42,0,First Year College,210,8,2
387179,172681,57,360,High School Graduate,1370,7,3
365297,160576,62,0,Engineering and Engineering trades Programs,22969,6,0
802400,147750,39,240,Business and Administration Programs,38200,3,2
138855,59647,27,0,Third Year High School,478,3,2
719203,192945,58,0,High School Graduate,25020,7,1
1276052,272493,75,0,Engineering and Engineering Trades Programs,24599,5,0
231580,73314,45,0,High School Graduate,10550,3,2
334036,287613,38,600,First Year High School,3530,7,1
272744,70490,76,0,Elementary Graduate,1450,4,0
339300,55897,56,0,High School Graduate,78400,3,2
296778,59132,52,0,High School Graduate,0,4,2
104023,69480,81,0,Elementary Graduate,430,4,0
475507,90536,61,0,Grade 3,0,5,2
120111,83389,59,0,High School Graduate,0,2,0
292800,75151,51,0,Third Year High School,0,2,2
287681,121864,50,510,Second Year High School,1470,6,3
408408,106262,54,2210,Grade 2,760,11,3
277000,107590,36,1590,High School Graduate,2415,4,2
493020,168272,66,0,Grade 3,0,5,3
213288,84971,54,0,High School Graduate,660,9,3
770612,247979,53,1950,High School Graduate,38390,13,5
348736,97862,28,520,High School Graduate,0,3,3
1011879,143756,80,0,Grade 4,0,3,1
83374,47599,61,0,Grade 3,0,1,0
974648,128718,71,0,Grade 4,0,3,1
547171,240393,67,250,First Year High School,2000,7,4
543469,81483,51,0,High School Graduate,0,3,0
227185,91897,59,0,Grade 3,1400,4,3
510937,261778,47,0,High School Graduate,51639,7,2
357782,106828,50,0,Engineering and Engineering trades Programs,94459,4,1
877910,126111,77,3150,No Grade Completed,46350,6,0
526874,126377,49,555,Engineering and Engineering trades Programs,10000,3,2
195321,43338,79,2880,Elementary Graduate,0,3,1
133146,87779,49,0,High School Graduate,750,4,1
560859,258834,47,1188,Second Year College,29250,6,2
100426,43686,60,0,High School Graduate,985,2,1
127800,62287,33,270,Engineering and Engineering trades Programs,1540,3,2
347864,141759,74,2930,Grade 1,0,5,2
441963,114511,40,360,Engineering and Engineering trades Programs,720,4,1
224602,59273,55,110,High School Graduate,6900,3,2
328316,147034,48,665,High School Graduate,29500,5,1
142911,35927,64,0,First Year High School,0,1,0
224949,115519,46,180,High School Graduate,0,5,3
436373,171258,56,780,High School Graduate,0,6,4
149899,77971,65,0,First Year High School,0,3,1
234678,91266,64,0,High School Graduate,0,3,1
164120,106519,67,190,Elementary Graduate,15655,5,1
515486,158005,56,0,High School Graduate,41250,8,4
224099,114674,44,7980,High School Graduate,46800,6,0
750256,158901,47,13152,Computing/Information Technology Programs,4200,5,1
155640,45865,70,0,High School Graduate,0,1,0
417490,129751,46,0,Engineering and Engineering Trades Programs,0,2,1
352008,112721,69,0,High School Graduate,0,4,1
354650,181309,50,0,High School Graduate,3700,6,4
585820,214368,55,0,High School Graduate,1015,10,6
348378,121196,47,1034,Engineering and Engineering trades Programs,600,5,3
721304,97454,59,0,Security Services Programs,0,4,2
406360,154787,53,4644,Second Year High School,47000,5,0
463736,160662,26,0,High School Graduate,0,5,5
239232,173638,28,0,Engineering and Engineering trades Programs,0,5,2
2828960,390361,34,1476,Law Programs,200600,7,2
85000,45974,48,0,High School Graduate,0,1,0
259162,68992,33,0,Computing/Information Technology Programs,3410,3,2
296880,148055,40,0,High School Graduate,10020,6,3
249390,98477,45,0,High School Graduate,1790,4,2
447012,183282,50,3250,High School Graduate,3345,5,3
499990,133201,42,2058,Second Year College,116360,4,2
108280,22835,28,468,High School Graduate,0,1,1
745897,108128,59,0,High School Graduate,0,4,3
312654,155232,38,1144,Grade 1,0,5,4
232578,124903,51,0,Grade 5,590,5,3
685462,193818,55,0,High School Graduate,0,4,3
941052,181376,49,738,Engineering and Engineering Trades Programs,170650,5,1
145140,55440,26,0,High School Graduate,0,3,1
178340,66920,75,0,No Grade Completed,710,4,2
311128,103540,49,0,Third Year College,4850,6,2
402000,144410,43,0,High School Graduate,27850,4,2
227225,102828,34,0,High School Graduate,0,4,2
772360,216610,52,0,Engineering and Engineering Trades Programs,116800,4,1
274898,202967,39,0,High School Graduate,5680,7,2
257400,120384,37,0,Third Year College,300,4,2
263363,86157,29,570,High School Graduate,0,2,2
866166,154329,65,0,Third Year College,0,5,3
1049422,153286,63,0,Security Services Programs,21950,5,2
2424310,434908,65,840,Business and Administration Programs,55000,6,3
126018,100325,31,570,High School Graduate,360,4,1
1169800,236109,62,1188,Engineering and Engineering Trades Programs,167155,9,4
166530,46256,83,0,Grade 3,0,1,0
264941,147189,49,840,High School Graduate,3310,4,1
303102,149445,69,180,Second Year High School,2120,4,1
257728,111858,39,3744,Transport Services Programs,2400,3,1
82924,32736,60,0,Elementary Graduate,0,1,0
107640,52566,24,120,High School Graduate,0,1,1
284805,167338,36,2700,High School Graduate,4310,6,2
153438,69501,29,540,Engineering and Engineering trades Programs,0,3,2
226980,155854,47,3916,High School Graduate,3600,9,3
803246,230713,48,1476,High School Graduate,0,7,4
179390,113645,39,1080,First Year College,3140,5,1
365863,166913,66,540,High School Graduate,27000,5,2
164192,97306,38,1558,High School Graduate,2999,6,2
881482,158675,47,1008,High School Graduate,27700,4,1
144872,51575,24,0,Teacher Training and Education Sciences Programs,0,1,1
141940,69383,38,0,Engineering and Engineering trades Programs,1040,3,0
144695,81489,87,4290,Grade 1,0,4,1
972466,255745,67,6566,Elementary Graduate,1680,9,4
308891,157005,31,1620,First Year Post Secondary,0,3,2
434469,73815,72,1080,Elementary Graduate,16100,3,2
232550,129661,51,0,High School Graduate,950,5,2
210770,112838,53,2460,High School Graduate,3100,4,2
131402,46625,45,2460,Elementary Graduate,0,1,1
324390,157050,50,228,High School Graduate,38349,4,1
272745,59472,83,0,Second Year College,0,2,1
253940,81782,50,0,High School Graduate,22100,4,1
176924,64209,61,0,High School Graduate,0,3,2
309074,124139,51,7597,High School Graduate,0,5,1
241518,98886,47,2340,High School Graduate,1240,4,3
346918,149189,46,6864,High School Graduate,1040,5,3
561835,170848,51,0,First Year College,1100,11,2
1109106,162137,58,1500,Business and Administration Programs,0,3,2
136984,65292,59,0,High School Graduate,1400,3,0
293922,114902,49,0,High School Graduate,0,4,1
391828,210961,43,3540,High School Graduate,9500,7,2
104294,59894,59,0,Elementary Graduate,2050,3,0
279164,140161,41,520,Grade 3,1460,10,2
750760,397028,60,0,Elementary Graduate,5380,11,4
161292,121711,48,3510,High School Graduate,990,6,1
255230,96391,37,0,Business and Administration Programs,25400,4,1
613260,149542,64,0,Third Year College,28000,3,0
761262,123928,46,3744,Social and Behavioral Science Programs,1950,3,2
295630,165659,41,4836,Elementary Graduate,24085,4,2
294467,142635,66,1392,High School Graduate,30900,5,2
260680,167048,32,3078,High School Graduate,300,8,5
203326,117255,49,0,Elementary Graduate,690,5,1
355552,131160,44,0,Grade 5,680,7,3
156880,65319,46,0,Elementary Graduate,1750,5,3
471448,208147,46,2115,Engineering and Engineering trades Programs,62500,6,0
334274,176608,86,0,Grade 5,14239,5,1
178639,83701,29,3760,High School Graduate,2450,4,1
415491,117230,35,0,High School Graduate,2460,3,2
400470,151774,49,0,Third Year College,97150,4,0
144012,28843,35,0,High School Graduate,0,1,1
459314,129612,53,1950,Third Year College,0,5,3
430045,121334,39,14172,High School Graduate,13300,6,1
210732,109280,38,306,Engineering and Engineering trades Programs,5925,4,1
435316,117826,47,0,Engineering and Engineering trades Programs,1650,4,2
699029,182766,34,8860,Business and Administration Programs,27340,6,2
447891,149953,47,4680,High School Graduate,62690,7,1
169423,88575,35,1482,High School Graduate,780,3,2
202800,113644,25,336,High School Graduate,0,4,2
456088,137559,47,0,Health Programs,20400,2,0
103530,53544,25,0,High School Graduate,0,1,1
413218,195888,45,3216,High School Graduate,2265,9,4
403388,130251,45,4160,Grade 4,950,4,3
777394,148739,51,4140,High School Graduate,103900,4,1
348644,112988,38,0,Engineering and Engineering Trades Programs,30280,4,1
209040,70027,66,260,High School Graduate,0,2,1
303581,92966,66,0,Elementary Graduate,2660,4,1
228692,72535,32,0,High School Graduate,730,2,1
240430,102555,68,0,High School Graduate,0,4,1
175250,105255,39,1500,High School Graduate,1330,5,1
315020,81980,50,1500,High School Graduate,0,2,1
305887,136926,43,4680,High School Graduate,1025,8,3
169960,72134,29,0,Engineering and Engineering trades Programs,0,2,1
222600,98322,37,1664,Computing/Information Technology Programs,1340,3,2
179010,60424,37,0,Computing/Information Technology Programs,0,1,1
211727,56322,40,2880,High School Graduate,0,2,1
280799,127919,48,1740,High School Graduate,8070,5,2
139871,106517,44,540,Elementary Graduate,1590,7,2
3802502,350723,49,1392,Engineering and Engineering Trades Programs,211000,5,1
378228,136332,44,0,High School Graduate,49190,6,2
326858,118105,59,0,High School Graduate,7800,3,1
38535,20594,62,0,Grade 4,0,1,0
152110,65268,43,1924,Elementary Graduate,16030,5,2
680112,180595,59,0,High School Graduate,0,5,3
180816,109980,45,600,Grade 4,1060,4,1
179236,89703,51,1560,High School Graduate,0,3,2
210847,82415,39,1920,Elementary Graduate,1090,5,2
126048,46139,59,0,Elementary Graduate,450,2,0
197041,94076,63,600,High School Graduate,600,7,2
239150,126597,38,200,High School Graduate,15700,3,2
175722,107759,40,0,Grade 3,8680,7,1
300858,170159,47,2040,High School Graduate,21100,3,2
182958,61374,48,2175,High School Graduate,0,4,2
394035,128796,51,400,Grade 2,0,8,6
87798,66049,31,120,Elementary Graduate,180,8,1
85462,49159,69,2080,Second Year College,0,3,1
66326,43056,24,300,Second Year High School,0,3,1
78790,33335,59,840,High School Graduate,0,2,1
95915,68991,37,0,Elementary Graduate,1170,6,1
99362,45056,81,480,Grade 1,0,5,0
116454,57054,68,300,Elementary Graduate,710,5,1
77871,40308,53,110,Grade 5,150,3,1
135046,71154,33,1040,High School Graduate,1745,4,2
143727,52669,41,150,High School Graduate,6580,3,1
97691,49260,39,400,First Year High School,1770,3,1
44071,26266,75,0,Grade 3,0,2,0
85008,45990,37,0,Elementary Graduate,1345,4,1
670609,175264,36,1550,"Agriculture, Forestry, and Fishery Programs",0,3,2
77260,37194,53,1300,Elementary Graduate,1970,2,1
125262,33228,52,0,Computing/Information Technology Programs,0,1,1
794595,91369,80,0,Basic Programs,0,1,0
280753,51825,60,1140,Engineering and Engineering trades Programs,0,2,1
41878,18871,57,0,Business and Administration Programs,0,1,1
341545,114007,45,0,High School Graduate,1430,4,1
480854,107746,47,5720,Engineering and Engineering Trades Programs,74000,4,0
169000,74130,34,520,Engineering and Engineering trades Programs,0,2,1
70919,36221,74,0,Elementary Graduate,0,2,0
133906,81867,55,150,High School Graduate,100,6,2
425988,204810,49,2750,Engineering and Engineering trades Programs,8790,12,2
530672,169122,49,1440,Business and Administration Programs,5950,3,3
78335,50472,29,220,Elementary Graduate,670,4,1
18441,13321,51,0,High School Graduate,0,1,1
146484,90501,28,0,High School Graduate,0,4,1
53678,41373,58,330,Grade 3,300,4,0
85212,46027,66,0,Grade 4,8800,4,1
104552,66310,46,1100,Elementary Graduate,550,5,2
188340,47761,50,300,Elementary Graduate,0,2,1
112569,62536,38,510,Grade 5,3800,5,1
202380,79140,52,650,Third Year High School,965,5,3
130369,75778,53,420,Grade 4,0,6,2
143950,68854,52,1050,Elementary Graduate,1110,3,1
43155,29211,50,0,Grade 3,60,4,1
262835,83713,38,2100,High School Graduate,640,2,2
113768,56338,60,0,Grade 5,0,2,0
99698,48357,22,660,High School Graduate,0,4,1
180429,36592,59,120,High School Graduate,0,2,0
29302,22992,64,0,Elementary Graduate,0,1,0
238734,89213,48,600,Elementary Graduate,810,7,1
88036,43906,40,1290,High School Graduate,1800,4,0
103445,54060,32,20,High School Graduate,1170,4,2
106036,66500,31,0,Elementary Graduate,30,5,2
109410,57574,31,0,High School Graduate,520,4,1
312897,102917,98,0,Grade 4,0,4,0
508009,105775,47,1994,High School Graduate,10750,7,3
124402,57951,66,0,Elementary Graduate,1350,3,2
129728,31706,63,0,Teacher Training and Education Sciences Programs,0,1,0
132422,60328,55,228,Second Year College,11900,2,0
132945,117341,44,0,First Year High School,1680,4,2
135996,57403,53,0,High School Graduate,0,2,1
191060,64927,67,0,High School Graduate,7500,3,0
486178,74642,31,932,Personal Services Programs,0,1,0
361792,104657,32,108,Third Year College,17145,2,0
1376906,180477,74,132,High School Graduate,0,5,2
293842,138340,69,900,Third Year College,0,5,0
128813,95640,64,720,High School Graduate,0,4,2
137602,77614,49,3796,Third Year High School,1800,3,0
106080,65390,37,520,Second Year High School,0,3,2
107369,60077,39,880,Second Year College,0,5,1
274448,197588,47,0,First Year College,2360,7,5
72843,42383,60,960,Second Year High School,0,6,2
500936,180949,46,0,Fourth Year College,11200,6,3
197626,93642,36,2064,Social and Behavioral Science Programs,1510,4,1
158830,102600,66,0,Second Year High School,535,7,2
453650,215622,76,0,Grade 5,3170,3,0
106203,46327,30,0,Computing/Information Technology Programs,0,4,1
285038,134951,37,4824,High School Graduate,2190,5,2
353668,164110,30,648,Third Year College,850,6,1
774762,210286,73,0,First Year College,0,5,4
142504,71382,55,2406,First Year High School,0,2,2
565072,298419,60,240,High School Graduate,4760,10,0
360640,180611,49,2252,Engineering and Engineering trades Programs,1315,7,3
